#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Ilmenite: Ilmenite
#------------------------------------------
# energy, Ilmenite
 7323.11670,  0.98525031
 7325.87988,  0.98808741
 7328.66211,  0.99248830
 7331.46436,  0.99735547
 7334.28564,  1.00232972
 7337.12695,  1.00702296
 7339.98828,  1.01077258
 7342.86865,  1.01322129
 7345.76855,  1.01414610
 7348.68848,  1.01333303
 7351.62793,  1.01176560
 7354.58691,  1.01040558
 7357.56543,  1.00897154
 7360.56396,  1.00709278
 7363.58154,  1.00493793
 7366.61914,  1.00241909
 7369.67627,  1.00002778
 7372.75293,  0.99752604
 7375.84961,  0.99626381
 7378.96533,  0.99575074
 7382.10107,  0.99509707
 7385.25635,  0.99371476
 7388.43115,  0.99409439
 7391.62598,  0.99413901
 7394.83984,  0.99552493
 7398.07373,  0.99802024
 7401.32715,  1.00107716
 7404.60010,  1.00407760
 7407.89258,  1.00664561
 7411.20459,  1.00875281
 7414.53662,  1.00976477
 7417.88818,  1.00992730
 7421.25928,  1.00926168
 7424.64990,  1.00786376
 7428.06006,  1.00590589
 7431.49023,  1.00367784
 7434.93994,  1.00116755
 7438.40918,  0.99851832
 7441.89795,  0.99592429
 7445.40625,  0.99412136
 7448.93457,  0.99310747
 7452.48193,  0.99287176
 7456.04932,  0.99343464
 7459.63623,  0.99441590
 7463.24316,  0.99558688
 7466.86914,  0.99664401
 7470.51514,  0.99776777
 7474.18018,  0.99906934
 7477.86523,  1.00030882
 7481.57031,  1.00127196
 7485.29443,  1.00155323
 7489.03857,  1.00157678
 7492.80176,  1.00124521
 7496.58496,  1.00088014
 7500.38770,  1.00049487
 7504.21045,  1.00020743
 7508.05225,  0.99978049
 7511.91406,  0.99935536
 7515.79541,  0.99895996
 7519.69629,  0.99878099
 7523.61670,  0.99882085
 7527.55713,  0.99886446
 7531.51660,  0.99885117
 7535.49609,  0.99882632
 7539.49512,  0.99901713
 7543.51367,  0.99921623
 7547.55176,  0.99953524
 7551.60986,  0.99962560
 7555.68750,  0.99964066
 7559.78467,  0.99961702
 7563.90137,  0.99959713
 7568.03760,  0.99961356
 7572.19385,  0.99948809
 7576.36914,  0.99943474
 7580.56445,  0.99929467
 7584.77930,  0.99927663
 7589.01367,  0.99902565
 7593.26807,  0.99897756
 7597.54199,  0.99881794
 7601.83496,  0.99856811
 7606.14795,  0.99849365
 7610.48047,  0.99852903
 7614.83301,  0.99901856
 7619.20459,  0.99966337
 7623.59619,  1.00031631
 7628.00732,  1.00070529
 7632.43799,  1.00058726
 7636.88818,  1.00013566
 7641.35840,  0.99960711
 7645.84814,  0.99918408
 7650.35742,  0.99877875
 7654.88623,  0.99864217
 7659.43457,  0.99872298
 7664.00244,  0.99865869
 7668.59033,  0.99860406
 7673.19775,  0.99863043
 7677.82471,  0.99890680
 7682.47119,  0.99920314
 7687.13721,  1.00064381
 7691.82324,  0.99815773
 7696.52832,  1.00019853
 7701.25342,  1.00053679
 7705.99805,  1.00059034
 7710.76270,  1.00310480
 7715.54639,  1.00153192
 7720.35010,  1.00140932
 7725.17334,  1.00131801
 7730.01611,  1.00121897
 7734.87842,  1.00099406
 7739.76025,  1.00079368
 7744.66211,  1.00058370
 7749.58350,  1.00041400
 7754.52441,  1.00015334
 7759.48486,  0.99986671
 7764.46484,  0.99952218
 7769.46484,  0.99934541
 7774.48438,  0.99934032
 7779.52344,  0.99937242
 7784.58203,  0.99955310
 7789.66016,  0.99980458
 7794.75781,  0.99995392
 7799.87549,  1.00002986
 7805.01270,  1.00017451
 7810.16943,  1.00036092
 7815.34570,  1.00053369
 7820.54199,  1.00059033
 7825.75732,  1.00064703
 7830.99268,  1.00058446
 7836.24756,  1.00061767
 7841.52197,  1.00056917
 7846.81592,  1.00053799
 7852.12988,  1.00046733
 7857.46338,  1.00041020
 7862.81641,  1.00029389
 7868.18896,  1.00014615
 7873.58105,  1.00009978
 7878.99268,  0.99999390
 7884.42432,  1.00016073
 7889.87549,  1.00023007
 7895.34619,  1.00024492
 7900.83643,  1.00033970
 7906.34668,  1.00040146
 7911.87598,  1.00043163
 7917.42529,  1.00042350
 7922.99414,  1.00056759
 7928.58252,  1.00053076
 7934.19043,  1.00051499
 7939.81836,  1.00065103
 7945.46582,  1.00064802
 7951.13281,  1.00071399
 7956.81934,  1.00080615
 7962.52539,  1.00072996
 7968.25098,  1.00081436
 7973.99658,  1.00074718
 7979.76172,  1.00064563
 7985.54639,  1.00051504
 7991.35059,  1.00036221
 7997.17480,  1.00023787
 8003.01807,  1.00004478
 8008.88135,  0.99991779
 8014.76416,  0.99982476
 8020.66650,  0.99975399
 8026.58838,  0.99972303
 8032.53027,  0.99973539
 8038.49170,  0.99968307
 8044.47217,  0.99964855
 8050.47314,  0.99958241
 8056.49316,  0.99957074
 8062.53271,  0.99952806
 8068.59229,  0.99943645
 8074.67139,  0.99938066
 8080.77002,  0.99931146
 8086.88818,  0.99919090
 8093.02588,  0.99898878
 8099.18359,  0.99883343
 8105.36084,  0.99856242
