#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Maghemite: Maghemite
#------------------------------------------
# energy, Maghemite
 7160.87500,  0.91309322
 7161.12500,  0.91176991
 7161.37500,  0.91029639
 7161.62500,  0.90977009
 7161.87500,  0.90856368
 7162.12500,  0.90825265
 7162.37500,  0.90746464
 7162.62500,  0.90715078
 7162.87500,  0.90715040
 7163.12500,  0.90694199
 7163.37500,  0.90694059
 7163.62500,  0.90707520
 7163.87500,  0.90744284
 7164.12500,  0.90751570
 7164.37500,  0.90798387
 7164.62500,  0.90846858
 7164.87500,  0.90940126
 7165.12500,  0.91034319
 7165.37500,  0.91058530
 7165.62500,  0.91173161
 7165.87500,  0.91253596
 7166.12500,  0.91333384
 7166.37500,  0.91435719
 7166.62500,  0.91546073
 7166.87500,  0.91609720
 7167.12500,  0.91724863
 7167.37500,  0.91850389
 7167.62500,  0.92006163
 7167.87500,  0.92123841
 7168.12500,  0.92230779
 7168.37500,  0.92337417
 7168.62500,  0.92521055
 7168.87500,  0.92663432
 7169.12500,  0.92803889
 7169.37500,  0.92976577
 7169.62500,  0.93129716
 7169.87500,  0.93316086
 7170.12500,  0.93470269
 7170.37500,  0.93659810
 7170.62500,  0.93804199
 7170.87500,  0.93987483
 7171.12500,  0.94223628
 7171.37500,  0.94400372
 7171.62500,  0.94603147
 7171.87500,  0.94803357
 7172.12500,  0.95013403
 7172.37500,  0.95254707
 7172.62500,  0.95497838
 7172.87500,  0.95742441
 7173.12500,  0.95940300
 7173.37500,  0.96214014
 7173.62500,  0.96426555
 7173.87500,  0.96667081
 7174.12500,  0.96909205
 7174.37500,  0.97180033
 7174.62500,  0.97405954
 7174.87500,  0.97692137
 7175.12500,  0.97891179
 7175.37500,  0.98159021
 7175.62500,  0.98379656
 7175.87500,  0.98619619
 7176.12500,  0.98807711
 7176.37500,  0.99023797
 7176.62500,  0.99159171
 7176.87500,  0.99303945
 7177.12500,  0.99481541
 7177.37500,  0.99591118
 7177.62500,  0.99725897
 7177.87500,  0.99833035
 7178.12500,  0.99897448
 7179.22119,  1.00374095
 7180.33691,  1.00847079
 7181.47266,  1.01409954
 7182.62793,  1.01925187
 7183.80273,  1.02417170
 7184.99756,  1.02704374
 7186.21143,  1.02861981
 7187.44580,  1.02902732
 7188.69922,  1.02955156
 7189.97266,  1.02906493
 7191.26514,  1.02883604
 7192.57812,  1.02752563
 7193.91016,  1.02662415
 7195.26221,  1.02503787
 7196.63379,  1.02284658
 7198.02490,  1.02017563
 7199.43604,  1.01768797
 7200.86670,  1.01512642
 7202.31689,  1.01171613
 7203.78711,  1.00860593
 7205.27637,  1.00508470
 7206.78613,  1.00188858
 7208.31494,  0.99850062
 7209.86377,  0.99629217
 7211.43164,  0.99407597
 7213.02002,  0.99355382
 7214.62744,  0.99405004
 7216.25488,  0.99468911
 7217.90186,  0.99613299
 7219.56836,  0.99740361
 7221.25488,  0.99958452
