#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#2L-Fhy: 2L-Fhy
#------------------------------------------
# energy, 2L-Fhy
 7696.52832,  1.00113535
 7701.25342,  1.00132119
 7705.99805,  1.00126842
 7710.76270,  1.00076963
 7715.54639,  1.00068354
 7720.35010,  1.00125459
 7725.17334,  1.00118075
 7730.01611,  1.00163074
 7734.87842,  1.00117905
 7739.76025,  1.00122800
 7744.66211,  1.00153580
 7749.58350,  1.00062483
 7754.52441,  1.00110906
 7759.48486,  1.00110578
 7764.46484,  1.00114204
 7769.46484,  1.00140669
 7774.48438,  1.00111148
 7779.52344,  1.00113748
 7784.58203,  1.00101742
 7789.66016,  1.00114513
 7794.75781,  1.00106689
 7799.87549,  1.00165928
 7805.01270,  1.00176080
 7810.16943,  1.00116907
 7815.34570,  1.00134175
 7820.54199,  1.00126144
 7825.75732,  1.00125439
 7830.99268,  1.00119801
 7836.24756,  1.00144805
 7841.52197,  1.00121252
 7846.81592,  1.00129708
 7852.12988,  1.00134016
 7857.46338,  1.00197671
 7862.81641,  1.00146205
 7868.18896,  1.00141383
 7873.58105,  1.00076487
 7878.99268,  1.00075355
 7884.42432,  1.00154374
 7889.87549,  1.00119258
 7895.34619,  1.00155468
 7900.83643,  1.00106976
 7906.34668,  1.00087187
 7911.87598,  1.00110720
 7917.42529,  1.00161413
 7922.99414,  1.00148193
 7928.58252,  1.00099491
 7934.19043,  1.00113048
 7939.81836,  1.00071082
 7945.46582,  1.00088706
 7951.13281,  1.00095489
 7956.81934,  1.00091443
 7962.52539,  1.00056658
 7968.25098,  1.00031541
 7973.99658,  1.00156998
 7979.76172,  1.00069706
 7985.54639,  1.00025521
 7991.35059,  0.99980231
 7997.17480,  0.99970261
 8003.01807,  1.00006626
 8008.88135,  0.99971813
 8014.76416,  0.99969362
 8020.66650,  0.99903688
 8026.58838,  0.99893631
 8032.53027,  0.99847369
 8038.49170,  0.99919753
 8044.47217,  0.99925497
 8050.47314,  0.99926320
 8056.49316,  0.99826724
 8062.53271,  0.99787446
 8068.59229,  0.99796959
 8074.67139,  0.99707438
 8080.77002,  0.99707885
 8086.88818,  0.99713809
 8093.02588,  0.99651050
 8099.18359,  0.99644403
 8105.36084,  0.99626828
