#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Siderite-s: Siderite-s
#------------------------------------------
# energy, Siderite-s
 7242.95312,  0.99689445
 7245.06836,  0.99825399
 7247.20312,  0.99996810
 7249.35742,  1.00138585
 7251.53174,  1.00321594
 7253.72559,  1.00465099
 7255.93896,  1.00406807
 7258.17188,  1.00636708
 7260.42432,  1.00469471
 7262.69678,  1.00985805
 7264.98828,  1.01011077
 7267.29980,  1.01055060
 7269.63086,  1.01023745
 7271.98193,  1.00978895
 7274.35205,  1.00948539
 7276.74219,  1.00862746
 7279.15186,  1.00769412
 7281.58105,  1.00652315
 7284.02979,  1.00502081
 7286.49805,  1.00303843
 7288.98633,  1.00112534
 7291.49414,  0.99898402
 7294.02148,  0.99791151
 7296.56836,  0.99704317
 7299.13477,  0.99601511
 7301.72119,  0.99558563
 7304.32666,  0.99617436
 7306.95215,  0.99685528
 7309.59717,  0.99759029
 7312.26221,  0.99893868
 7314.94629,  0.99960091
 7317.65039,  1.00010112
 7320.37354,  1.00047905
 7323.11670,  1.00033986
 7325.87988,  1.00050848
 7328.66211,  1.00051710
 7331.46436,  1.00087314
 7334.28564,  1.00123711
 7337.12695,  1.00167584
 7339.98828,  1.00152739
 7342.86865,  1.00126035
 7345.76855,  1.00087502
 7348.68848,  1.00048021
 7351.62793,  1.00040368
 7354.58691,  1.00050275
 7357.56543,  1.00075281
 7360.56396,  1.00068234
 7363.58154,  1.00083165
 7366.61914,  1.00033342
 7369.67627,  1.00036142
 7372.75293,  1.00047379
 7375.84961,  1.00059428
 7378.96533,  1.00064871
 7382.10107,  1.00121146
 7385.25635,  1.00104936
 7388.43115,  1.00125540
 7391.62598,  1.00141894
 7394.83984,  1.00123486
 7398.07373,  1.00129877
 7401.32715,  1.00128337
 7404.60010,  1.00125995
 7407.89258,  1.00081844
 7411.20459,  1.00045603
 7414.53662,  1.00020498
 7417.88818,  0.99938246
 7421.25928,  0.99884289
 7424.64990,  0.99839550
 7428.06006,  0.99829570
 7431.49023,  0.99775068
 7434.93994,  0.99788216
 7438.40918,  0.99809108
 7441.89795,  0.99782052
 7445.40625,  0.99775768
 7448.93457,  0.99773333
 7452.48193,  0.99756460
 7456.04932,  0.99783251
 7459.63623,  0.99808348
 7463.24316,  0.99853731
 7466.86914,  0.99911488
 7470.51514,  0.99963912
 7474.18018,  1.00018176
 7477.86523,  1.00029016
 7481.57031,  1.00042433
 7485.29443,  1.00058478
 7489.03857,  1.00045858
 7492.80176,  1.00045353
 7496.58496,  1.00007052
 7500.38770,  0.99997140
 7504.21045,  0.99960769
 7508.05225,  0.99959275
 7511.91406,  0.99931772
 7515.79541,  0.99926184
 7519.69629,  0.99861254
 7523.61670,  0.99894393
 7527.55713,  0.99873905
 7531.51660,  0.99845182
 7535.49609,  0.99863979
 7539.49512,  0.99879288
 7543.51367,  0.99898949
 7547.55176,  0.99919336
 7551.60986,  0.99918032
 7555.68750,  0.99971969
 7559.78467,  0.99992455
 7563.90137,  0.99998996
 7568.03760,  1.00019658
 7572.19385,  1.00010473
 7576.36914,  0.99993003
 7580.56445,  1.00005125
 7584.77930,  0.99989426
 7589.01367,  0.99953947
 7593.26807,  0.99955637
 7597.54199,  0.99938592
 7601.83496,  0.99929708
 7606.14795,  0.99927182
 7610.48047,  0.99913954
 7614.83301,  0.99919948
 7619.20459,  0.99914898
 7623.59619,  0.99905890
 7628.00732,  0.99883252
 7632.43799,  1.00005305
 7636.88818,  0.99984688
 7641.35840,  0.99994538
 7645.84814,  1.00032898
 7650.35742,  1.00055721
 7654.88623,  1.00083188
 7659.43457,  1.00081395
 7664.00244,  1.00086913
 7668.59033,  1.00093128
 7673.19775,  1.00087031
 7677.82471,  1.00091839
 7682.47119,  1.00062015
 7687.13721,  1.00079067
 7691.82324,  1.00071990
 7696.52832,  1.00071305
 7701.25342,  1.00061461
 7705.99805,  1.00038442
 7710.76270,  1.00035471
 7715.54639,  1.00054545
 7720.35010,  1.00040844
 7725.17334,  1.00033794
 7730.01611,  1.00023849
 7734.87842,  1.00034785
 7739.76025,  1.00025582
 7744.66211,  1.00043076
 7749.58350,  1.00027531
 7754.52441,  1.00042915
 7759.48486,  1.00043492
 7764.46484,  1.00059299
 7769.46484,  1.00066676
 7774.48438,  1.00070967
 7779.52344,  1.00064152
 7784.58203,  1.00059337
 7789.66016,  1.00067122
 7794.75781,  1.00080966
 7799.87549,  1.00066870
 7805.01270,  1.00046218
 7810.16943,  1.00053372
 7815.34570,  1.00033758
 7820.54199,  1.00019896
 7825.75732,  1.00031295
 7830.99268,  1.00024012
 7836.24756,  1.00016596
 7841.52197,  1.00027427
 7846.81592,  1.00011983
 7852.12988,  1.00003165
 7857.46338,  1.00005579
 7862.81641,  1.00014459
 7868.18896,  1.00010069
 7873.58105,  1.00013018
 7878.99268,  1.00002460
 7884.42432,  1.00033085
 7889.87549,  1.00017003
 7895.34619,  1.00045027
 7900.83643,  1.00016232
 7906.34668,  1.00017901
 7911.87598,  1.00018244
 7917.42529,  1.00024521
 7922.99414,  1.00017632
 7928.58252,  1.00019020
 7934.19043,  1.00028396
 7939.81836,  1.00025302
 7945.46582,  1.00021288
