spectrum,cluster,r_factor,r_factor_w,chi_sq,weight_sum,n_refs,Biotite,Mackinawite (aged),Siderite-s,Hornblende,Augite,Mackinawite,Siderite-n,Vivianite,6L-Fhy,Ferrosmectite,Maghemite,Pyrrhotite,2L-Fhy,Ilmenite,Jarosite,Green Rust - Carbonate,Green Rust - Sulfate,Hematite,Nontronite,Lepidocrocite,Pyrite,Hematite on sand,2L-Fhy on sand,FeS,Schwertmannite,Goethite
FeXANES_GT15_super_dark_Fe_18.001,3,0.0240,0.0259,0.0007,0.9977,3,0.6488,0.0000,0.0000,0.0000,0.0000,0.1181,0.2331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_19.001,1,0.0219,0.0222,0.0006,1.0398,3,0.4161,0.0000,0.0000,0.0000,0.5143,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_2.001,1,0.0175,0.0180,0.0004,1.0508,3,0.2465,0.0000,0.0000,0.5034,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_20.001,2,0.0230,0.0233,0.0005,1.0331,2,0.0000,0.0000,0.0000,0.7294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_21.001,5,0.0092,0.0095,0.0001,1.0081,3,0.0000,0.0000,0.1547,0.0000,0.7118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_22.001,2,0.0195,0.0207,0.0005,1.0615,3,0.0000,0.0000,0.0000,0.4905,0.0000,0.0000,0.1287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_23.001,1,0.0097,0.0105,0.0001,1.0293,3,0.0000,0.2430,0.0000,0.6470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_24.001,2,0.0116,0.0123,0.0001,1.0155,3,0.0000,0.0592,0.0000,0.3627,0.0000,0.0000,0.0000,0.0000,0.5782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_3.001,2,0.0088,0.0103,0.0001,0.9963,2,0.1549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_4.001,2,0.0091,0.0106,0.0001,1.0149,3,0.0000,0.0000,0.0000,0.1754,0.0808,0.0000,0.0000,0.0000,0.0000,0.7438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_6.001,1,0.0084,0.0089,0.0001,1.0112,3,0.0000,0.2485,0.0000,0.5160,0.0000,0.0000,0.0000,0.2355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_7.001,2,0.0158,0.0166,0.0003,1.0537,3,0.0000,0.0000,0.0000,0.2580,0.3668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3753,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_8.001,3,0.0280,0.0311,0.0008,1.0008,3,0.3421,0.0000,0.0000,0.0000,0.0000,0.0000,0.2687,0.0000,0.0000,0.0000,0.0000,0.3892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_9.001,5,0.0106,0.0116,0.0001,1.0015,3,0.0000,0.0000,0.0000,0.3907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2399,0.0000,0.3694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_1.001,1,0.0135,0.0142,0.0002,1.0185,3,0.1550,0.0000,0.4518,0.3931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_10.001,1,0.0105,0.0124,0.0001,1.0313,3,0.2619,0.4596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_2.001,1,0.0117,0.0123,0.0001,1.0234,3,0.1004,0.0000,0.4086,0.4910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_3.001,4,0.0107,0.0128,0.0001,1.0260,3,0.1925,0.3685,0.4390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_4.001,1,0.0099,0.0106,0.0001,1.0329,3,0.4735,0.2618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_5.001,1,0.0106,0.0112,0.0001,1.0209,3,0.1760,0.0000,0.5400,0.2840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_6.001,1,0.0111,0.0116,0.0001,1.0277,3,0.5432,0.0000,0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_7.001,1,0.0100,0.0112,0.0001,1.0305,3,0.0000,0.3127,0.0000,0.4999,0.0000,0.0000,0.0000,0.1874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT5_Fe_Flaky1_8.001,1,0.0095,0.0103,0.0001,1.0306,3,0.0000,0.1542,0.0000,0.7340,0.0000,0.0000,0.0000,0.1119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
