#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Mackinawite: Mackinawite
#------------------------------------------
# energy, Mackinawite
 7357.56543,  1.11234095
 7360.56396,  1.11238410
 7363.58154,  1.11221364
 7366.61914,  1.11277426
 7369.67627,  1.11264174
 7372.75293,  1.11256943
 7375.84961,  1.11229477
 7378.96533,  1.11225354
 7382.10107,  1.11284440
 7385.25635,  1.11285393
 7388.43115,  1.11320049
 7391.62598,  1.11397129
 7394.83984,  1.11512984
 7398.07373,  1.11677491
 7401.32715,  1.11842012
 7404.60010,  1.12082109
 7407.89258,  1.12334209
 7411.20459,  1.12644001
 7414.53662,  1.12919178
 7417.88818,  1.13192055
 7421.25928,  1.13434439
 7424.64990,  1.13537905
 7428.06006,  1.13663666
 7431.49023,  1.13708653
 7434.93994,  1.13787895
 7438.40918,  1.13918132
 7441.89795,  1.14096031
 7445.40625,  1.14305208
 7448.93457,  1.14505840
 7452.48193,  1.14735671
 7456.04932,  1.14959990
 7459.63623,  1.15160182
 7463.24316,  1.15324878
 7466.86914,  1.15490416
 7470.51514,  1.15677806
 7474.18018,  1.15875174
 7477.86523,  1.16066932
 7481.57031,  1.16214100
 7485.29443,  1.16402841
 7489.03857,  1.16537334
 7492.80176,  1.16673867
 7496.58496,  1.16828325
 7500.38770,  1.16963906
 7504.21045,  1.17117123
 7508.05225,  1.17325470
 7511.91406,  1.17499300
 7515.79541,  1.17820950
 7519.69629,  1.17870564
 7523.61670,  1.17998428
 7527.55713,  1.18122323
 7531.51660,  1.18247749
 7535.49609,  1.18445594
 7539.49512,  1.18524377
 7543.51367,  1.18717263
 7547.55176,  1.18905795
 7551.60986,  1.19142606
 7555.68750,  1.19374347
 7559.78467,  1.19626729
 7563.90137,  1.19901185
 7568.03760,  1.20102034
 7572.19385,  1.20363274
 7576.36914,  1.20639177
 7580.56445,  1.20847300
 7584.77930,  1.21087707
 7589.01367,  1.21319820
 7593.26807,  1.21552289
 7597.54199,  1.21802478
 7601.83496,  1.22069617
 7606.14795,  1.22331642
 7610.48047,  1.22623774
 7614.83301,  1.22924338
 7619.20459,  1.23203077
 7623.59619,  1.23328980
 7628.00732,  1.24919547
 7632.43799,  1.23704797
 7636.88818,  1.24177500
 7641.35840,  1.24188335
 7645.84814,  1.24286803
 7650.35742,  1.24476474
 7654.88623,  1.24629466
 7659.43457,  1.24823160
 7664.00244,  1.25046727
 7668.59033,  1.25299752
 7673.19775,  1.25519860
 7677.82471,  1.25858148
 7682.47119,  1.26098180
 7687.13721,  1.26361664
 7691.82324,  1.26656630
 7696.52832,  1.26936718
 7701.25342,  1.27186752
 7705.99805,  1.27469980
 7710.76270,  1.27721832
 7715.54639,  1.28042428
 7720.35010,  1.28360404
 7725.17334,  1.28686277
 7730.01611,  1.28977509
 7734.87842,  1.29290760
 7739.76025,  1.29619030
 7744.66211,  1.29897502
 7749.58350,  1.30165957
 7754.52441,  1.30449127
 7759.48486,  1.30675860
 7764.46484,  1.30961360
 7769.46484,  1.31259135
 7774.48438,  1.31553755
 7779.52344,  1.31811709
 7784.58203,  1.31960329
 7789.66016,  1.32199862
 7794.75781,  1.32401916
 7799.87549,  1.32640345
 7805.01270,  1.32936356
 7810.16943,  1.33173407
 7815.34570,  1.33392105
 7820.54199,  1.33783698
 7825.75732,  1.34034956
 7830.99268,  1.34370815
 7836.24756,  1.34722160
 7841.52197,  1.35075932
 7846.81592,  1.35446982
 7852.12988,  1.35722281
 7857.46338,  1.36030829
 7862.81641,  1.36352701
 7868.18896,  1.36694676
 7873.58105,  1.37026401
 7878.99268,  1.37363457
