#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#FeS: FeS
#------------------------------------------
# energy, FeS
 8003.39941,  2.04652109
 8009.24121,  2.05464364
 8015.10254,  2.06252346
 8020.98389,  2.07093713
 8026.88379,  2.07986761
 8032.80371,  2.08823584
 8038.74316,  2.09563272
 8044.70215,  2.10675986
 8050.68018,  2.11611843
 8056.67773,  2.12812591
 8062.69531,  2.13879088
 8068.73193,  2.14871918
 8074.78809,  2.16256585
 8080.86377,  2.17022685
 8086.95850,  2.18211668
 8093.07324,  2.19114542
 8099.20703,  2.20368376
 8105.36084,  2.21445326
