#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Siderite-n: Siderite-n
#------------------------------------------
# energy, Siderite-n
 7369.67627,  1.05455295
 7372.75293,  1.05366233
 7375.84961,  1.05380060
 7378.96533,  1.05499918
 7382.10107,  1.05613902
 7385.25635,  1.05720831
 7388.43115,  1.05876414
 7391.62598,  1.05923825
 7394.83984,  1.05929308
 7398.07373,  1.05936206
 7401.32715,  1.06104919
 7404.60010,  1.06278749
 7407.89258,  1.06521748
 7411.20459,  1.06804484
 7414.53662,  1.06993206
 7417.88818,  1.07209652
 7421.25928,  1.07375945
 7424.64990,  1.07464366
 7428.06006,  1.07453568
 7431.49023,  1.07363489
 7434.93994,  1.07295613
 7438.40918,  1.07274929
 7441.89795,  1.07324299
 7445.40625,  1.07438043
 7448.93457,  1.07598234
 7452.48193,  1.07773700
 7456.04932,  1.07934298
 7459.63623,  1.08059214
 7463.24316,  1.08211757
 7466.86914,  1.08364552
 7470.51514,  1.08458723
 7474.18018,  1.08511177
 7477.86523,  1.08573277
 7481.57031,  1.08569807
 7485.29443,  1.08621334
 7489.03857,  1.08648675
 7492.80176,  1.08639686
 7496.58496,  1.08684206
 7500.38770,  1.08766782
 7504.21045,  1.08871710
 7508.05225,  1.08934001
 7511.91406,  1.09006438
 7515.79541,  1.09052100
 7519.69629,  1.09105415
 7523.61670,  1.09237279
 7527.55713,  1.09328516
 7531.51660,  1.09469939
 7535.49609,  1.09621804
 7539.49512,  1.09762740
 7543.51367,  1.09928679
 7547.55176,  1.10018907
 7551.60986,  1.10129947
 7555.68750,  1.10306762
 7559.78467,  1.10354277
 7563.90137,  1.10420811
 7568.03760,  1.10488498
 7572.19385,  1.10602386
 7576.36914,  1.10773563
 7580.56445,  1.10947109
 7584.77930,  1.11102392
 7589.01367,  1.11276378
 7593.26807,  1.11426135
 7597.54199,  1.11522405
 7601.83496,  1.11620712
 7606.14795,  1.11648566
 7610.48047,  1.11740367
 7614.83301,  1.11852261
 7619.20459,  1.11935369
 7623.59619,  1.12021090
 7628.00732,  1.12108138
 7632.43799,  1.12273254
 7636.88818,  1.12324303
 7641.35840,  1.12422971
 7645.84814,  1.12563468
 7650.35742,  1.12682911
 7654.88623,  1.12786550
 7659.43457,  1.12906435
 7664.00244,  1.13023640
 7668.59033,  1.13127018
 7673.19775,  1.13236448
 7677.82471,  1.13386122
 7682.47119,  1.13519696
 7687.13721,  1.13678465
 7691.82324,  1.13854800
 7696.52832,  1.13997561
 7701.25342,  1.14151064
 7705.99805,  1.14245043
 7710.76270,  1.14408235
 7715.54639,  1.14538562
 7720.35010,  1.14661704
 7725.17334,  1.14779462
 7730.01611,  1.14894794
 7734.87842,  1.15025068
 7739.76025,  1.15154744
 7744.66211,  1.15291224
 7749.58350,  1.15445594
 7754.52441,  1.15563897
 7759.48486,  1.15681796
 7764.46484,  1.15806009
 7769.46484,  1.15948863
 7774.48438,  1.16086168
 7779.52344,  1.16201152
 7784.58203,  1.16353081
 7789.66016,  1.16507650
 7794.75781,  1.16631069
 7799.87549,  1.16762194
 7805.01270,  1.16893841
 7810.16943,  1.17033351
 7815.34570,  1.17157495
 7820.54199,  1.17282790
 7825.75732,  1.17415347
 7830.99268,  1.17539124
 7836.24756,  1.17667930
 7841.52197,  1.17806506
 7846.81592,  1.17974513
 7852.12988,  1.18121291
 7857.46338,  1.18277717
 7862.81641,  1.18425706
 7868.18896,  1.18576161
 7873.58105,  1.18721424
 7878.99268,  1.18890081
 7884.42432,  1.19047527
 7889.87549,  1.19204515
 7895.34619,  1.19361860
 7900.83643,  1.19479174
 7906.34668,  1.19659647
 7911.87598,  1.19834186
 7917.42529,  1.20012256
 7922.99414,  1.20160481
 7928.58252,  1.20304861
 7934.19043,  1.20462206
 7939.81836,  1.20616635
 7945.46582,  1.20766135
 7951.13281,  1.20942843
 7956.81934,  1.21085680
 7962.52539,  1.21256110
 7968.25098,  1.21411629
 7973.99658,  1.21565947
 7979.76172,  1.21742738
 7985.54639,  1.21901548
 7991.35059,  1.22072980
 7997.17480,  1.22230927
 8003.01807,  1.22400439
 8008.88135,  1.22562764
 8014.76416,  1.22712051
 8020.66650,  1.22883103
 8026.58838,  1.23038842
 8032.53027,  1.23211464
 8038.49170,  1.23374774
 8044.47217,  1.23548459
 8050.47314,  1.23712682
 8056.49316,  1.23865329
 8062.53271,  1.24062262
 8068.59229,  1.24218297
 8074.67139,  1.24373613
 8080.77002,  1.24564606
 8086.88818,  1.24720915
 8093.02588,  1.24891937
 8099.18359,  1.25080543
 8105.36084,  1.25247124
